gene,drug_PRL
201925_s_at,13812
201926_s_at,12185
201927_s_at,7180
201928_at,13515
201929_s_at,17465
201930_at,13868
201931_at,3079
201932_at,21077
201933_at,20143
201934_at,18095
201935_s_at,10675
201936_s_at,8320
201937_s_at,17076
201938_at,14093
201939_at,17361
201940_at,2702
201941_at,21563
201942_s_at,15347
201943_s_at,19018
201944_at,7657
201945_at,14748
201946_s_at,4814
201947_s_at,13441
201948_at,21658
201949_x_at,8264
201950_x_at,11114
201951_at,11284
201952_at,16242
201953_at,14071
201954_at,9442
201955_at,16796
201956_s_at,8864
201957_at,8926
201958_s_at,4555
201959_s_at,21248
201960_s_at,21657
201961_s_at,8750
201962_s_at,17519
201963_at,10774
201964_at,21299
201965_s_at,19536
201966_at,11854
201967_at,12683
201968_s_at,11724
201969_at,195
201970_s_at,15269
201971_s_at,4943
201972_at,16805
201973_s_at,18824
201974_s_at,5723
201975_at,16656
201976_s_at,15826
201977_s_at,10729
201978_s_at,9773
201979_s_at,7487
201980_s_at,20560
201981_at,5850
201982_s_at,6627
201983_s_at,10194
201984_s_at,17860
201985_at,13625
201986_at,18985
201987_at,20757
